Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt1000
AGO,FEM,CHE,133,32,145,125,1980,true
AGO,FEM,THA,3,0,161,328,1124,true
AGO,FEM,GBR,384,1438,3199,225,17315,true
AGO,FEM,USA,71,176,584,1575,3655,true
AGO,FEM,ZMB,21349,17195,14741,13414,12249,true
AGO,MAL,BWA,113,101,48,282,2217,true
AGO,MAL,BRA,1564,430,3623,2420,3537,true
AGO,MAL,CAN,42,232,429,483,1368,true
AGO,MAL,CPV,0,0,0,936,1087,true
AGO,MAL,FRA,4558,10907,76,130,6408,true
AGO,MAL,DEU,208,219,221,487,4703,true
AGO,MAL,MWI,16,16,2454,2407,2360,true
AGO,MAL,MOZ,0,7,33,651,2865,true
AGO,MAL,NAM,9006,13828,21095,31931,30330,true
AGO,MAL,NLD,3,0,0,0,3798,true
AGO,MAL,PHL,22,13,103,361,1184,true
AGO,MAL,PRT,6347,17813,49591,66016,80031,true
AGO,MAL,ZAF,10354,6271,1955,3515,7308,true
AGO,MAL,ESP,0,0,0,1429,1045,true
AGO,MAL,CHE,92,30,141,105,2321,true
AGO,MAL,THA,6,0,174,345,1189,true
AGO,MAL,GBR,499,1784,3281,259,16144,true
AGO,MAL,USA,70,140,763,1619,4757,true
AGO,MAL,ZMB,20897,16658,13216,11758,10527,true
AIA,TOT,VIR,125,195,1267,1603,1105,true
ATG,TOT,CAN,14,162,317,1925,2288,true
ATG,TOT,ANT,203,178,156,229,1058,true
ATG,TOT,PHL,82,92,337,67,5791,true
ATG,TOT,PRI,50,147,211,96,1966,true
ATG,TOT,THA,130,1,662,1330,4566,true
ATG,TOT,USA,3901,91,4533,13281,19151,true
ATG,TOT,VIR,726,735,5189,7744,4842,true
ATG,FEM,CAN,7,87,171,997,1308,true
ATG,FEM,PHL,39,54,133,37,2991,true
ATG,FEM,PRI,25,76,111,50,1063,true
ATG,FEM,THA,53,0,318,648,2219,true
ATG,FEM,USA,1900,50,2444,7143,10905,true
ATG,FEM,VIR,386,362,2650,3946,2560,true
ATG,MAL,PHL,43,39,204,29,2800,true
ATG,MAL,THA,77,0,345,682,2347,true
ATG,MAL,USA,2001,41,2089,6137,8246,true
ATG,MAL,VIR,340,373,2539,3798,2282,true
ARG,TOT,AUS,144,434,8783,10299,10749,true
ARG,TOT,BOL,4113,9976,14647,17463,27612,true
ARG,TOT,BRA,17814,17026,26427,28161,27553,true
ARG,TOT,CAN,1909,2421,2992,9645,13536,true
ARG,TOT,CHL,11966,12739,18862,32548,45713,true
ARG,TOT,COL,943,1418,1730,2142,2654,true
ARG,TOT,CRI,146,203,429,656,1103,true
ARG,TOT,DOM,90,809,1502,2291,3221,true
ARG,TOT,ECU,540,1004,1563,1661,2183,true
ARG,TOT,FRA,10669,1067,9699,9508,17999,true
ARG,TOT,DEU,1230,1767,5144,3561,5112,true
ARG,TOT,ISR,1107,1315,1243,16177,36951,true
ARG,TOT,ITA,458,17211,16981,34358,20311,true
ARG,TOT,JPN,5,78,173,2666,3061,true
ARG,TOT,MEX,2480,1638,6004,4417,6564,true
ARG,TOT,NLD,3,226,625,1800,2215,true
ARG,TOT,PRY,27512,24563,37611,47261,64284,true
ARG,TOT,PER,2643,3877,4861,4386,3586,true
ARG,TOT,PRT,55,144,377,856,1094,true
ARG,TOT,QAT,2,45,67,54,1340,true
ARG,TOT,ZAF,422,672,920,972,1004,true
ARG,TOT,ESP,12334,20804,35637,52801,83803,true
ARG,TOT,SWE,268,620,2204,2156,2408,true
ARG,TOT,CHE,408,541,283,1876,1359,true
ARG,TOT,GBR,5672,319,3589,4574,10198,true
ARG,TOT,USA,17591,55325,77600,106364,133210,true
ARG,TOT,URY,27775,23013,16613,18724,25146,true
ARG,TOT,VEN,4240,3827,10340,9580,8733,true
ARG,FEM,AUS,67,216,4773,5145,5510,true
ARG,FEM,BOL,1988,4957,7356,8953,13804,true
ARG,FEM,BRA,8994,8860,13111,13084,11974,true
ARG,FEM,CAN,903,1237,1611,4607,6848,true
ARG,FEM,CHL,6122,6728,9869,16423,22434,true
ARG,FEM,COL,384,630,791,989,1175,true
ARG,FEM,DOM,34,377,667,996,1396,true
ARG,FEM,FRA,5096,518,5476,5292,9117,true
ARG,FEM,DEU,509,805,2667,1897,2928,true
ARG,FEM,ISR,538,655,645,8300,19890,true
ARG,FEM,ITA,232,8937,9754,22449,12359,true
ARG,FEM,JPN,2,33,84,1070,1492,true
ARG,FEM,MEX,1205,801,2991,2219,3255,true
ARG,FEM,NLD,1,82,271,945,1246,true
ARG,FEM,PRY,13033,12680,19095,23780,31854,true
ARG,FEM,PER,1374,2061,2616,2473,2112,true
ARG,FEM,ESP,6687,11245,19312,27805,42554,true
ARG,FEM,SWE,145,312,1041,1058,1214,true
ARG,FEM,GBR,3203,147,2034,2666,5942,true
ARG,FEM,USA,8414,30047,38979,52843,67127,true
ARG,FEM,URY,14560,23013,9703,10736,13762,true
ARG,FEM,VEN,1778,1511,4930,4569,4120,true
ARG,MAL,AUS,77,218,4009,5154,5239,true
ARG,MAL,BOL,2125,5019,7290,8509,13808,true
ARG,MAL,BRA,8820,8166,13316,15076,15580,true
ARG,MAL,CAN,1006,1184,1381,5039,6687,true
ARG,MAL,CHL,5843,6011,8993,16124,23280,true
ARG,MAL,COL,559,788,939,1153,1479,true
ARG,MAL,DOM,56,432,835,1295,1825,true
ARG,MAL,ECU,319,577,871,963,1249,true
ARG,MAL,FRA,5572,549,4224,4217,8882,true
ARG,MAL,DEU,721,962,2477,1664,2185,true
ARG,MAL,ISR,569,660,599,7877,17062,true
ARG,MAL,ITA,226,8274,7228,11909,7951,true
ARG,MAL,JPN,3,45,89,1596,1569,true
ARG,MAL,MEX,1276,837,3013,2198,3308,true
ARG,MAL,PRY,14479,11884,18516,23481,32431,true
ARG,MAL,PER,1270,1816,2245,1914,1475,true
ARG,MAL,ESP,5647,9559,16325,24997,41250,true
ARG,MAL,SWE,123,309,1163,1099,1195,true
ARG,MAL,GBR,2469,172,1555,1908,4257,true
ARG,MAL,USA,9177,25279,38621,53521,66083,true
ARG,MAL,URY,13215,0,6911,7988,11385,true
ARG,MAL,VEN,2461,2316,5410,5012,4612,true
ARM,TOT,ARG,1318,857,446,90,1497,true
ARM,TOT,AZE,152502,168047,165099,137027,89898,true
ARM,TOT,BLR,0,0,0,2912,2035,true
ARM,TOT,BGR,857,894,916,908,4221,true
ARM,TOT,CAN,2374,1997,1651,1652,1879,true
ARM,TOT,COD,104,2837,1781,1230,1007,true
ARM,TOT,FRA,1755,175,376,51,2961,true
ARM,TOT,GEO,38234,39045,38679,37742,23674,true
ARM,TOT,DEU,674,745,781,11517,21695,true
ARM,TOT,GRC,61,123,157,3459,7438,true
ARM,TOT,HKG,540,530,29,255,4831,true
ARM,TOT,ISR,1233,1466,2481,5685,10674,true
ARM,TOT,KAZ,0,6364,7718,10756,8481,true
ARM,TOT,LVA,0,0,0,1399,1031,true
ARM,TOT,MDA,0,613,896,1318,1081,true
ARM,TOT,RUS,72835,84996,103733,151484,481328,true
ARM,TOT,ESP,0,0,0,108,2502,true
ARM,TOT,TJK,0,1543,1980,2302,1731,true
ARM,TOT,THA,11,277,525,847,2671,true
ARM,TOT,TKM,2552,3196,3698,4436,3252,true
ARM,TOT,UKR,18403,21959,25378,36498,52168,true
ARM,TOT,USA,84201,69991,49945,32487,99985,true
ARM,TOT,UZB,0,8304,10296,12280,10008,true
ARM,TOT,YEM,881,1090,1350,1671,1954,true
ARM,FEM,AZE,64476,71049,69802,57934,38615,true
ARM,FEM,BGR,423,441,452,448,2083,true
ARM,FEM,FRA,838,85,209,22,1500,true
ARM,FEM,GEO,16165,16508,16353,15957,10169,true
ARM,FEM,DEU,320,329,331,5553,10775,true
ARM,FEM,GRC,27,56,76,1720,3969,true
ARM,FEM,HKG,218,238,10,168,3722,true
ARM,FEM,ISR,585,713,1321,3438,6907,true
ARM,FEM,KAZ,0,2691,3263,4548,3586,true
ARM,FEM,RUS,30794,35935,43857,64046,203501,true
ARM,FEM,ESP,0,0,0,63,1149,true
ARM,FEM,THA,4,118,248,411,1298,true
ARM,FEM,TKM,1079,1351,1563,1875,1397,true
ARM,FEM,UKR,7781,9284,10730,15431,22027,true
ARM,FEM,USA,42567,34021,27543,17774,52384,true
ARM,FEM,UZB,0,3511,4353,5192,4299,true
ARM,MAL,AZE,88025,96998,95297,79093,51283,true
ARM,MAL,BLR,0,0,0,1681,1253,true
ARM,MAL,BGR,434,453,464,460,2138,true
ARM,MAL,FRA,917,90,167,29,1461,true
ARM,MAL,GEO,22069,22537,22326,21785,13505,true
ARM,MAL,DEU,354,416,451,5965,10920,true
ARM,MAL,GRC,33,67,81,1739,3469,true
ARM,MAL,HKG,323,292,19,87,1108,true
ARM,MAL,ISR,648,753,1160,2246,3768,true
ARM,MAL,KAZ,0,3673,4455,6208,4895,true
ARM,MAL,RUS,42041,49061,59876,87438,277827,true
ARM,MAL,ESP,0,0,0,45,1352,true
ARM,MAL,THA,7,160,277,436,1373,true
ARM,MAL,TKM,1473,1845,2134,2561,1855,true
ARM,MAL,UKR,10622,12675,14648,21067,30141,true
ARM,MAL,USA,41634,35969,22402,14713,47601,true
ARM,MAL,UZB,0,4793,5943,7088,5709,true
ARM,MAL,YEM,559,692,856,1060,1239,true
ABW,TOT,NLD,0,0,0,0,1104,true
ABW,TOT,ANT,70,62,54,3906,3317,true
ABW,TOT,USA,743,17,3288,4108,2101,true
ABW,FEM,ANT,39,37,35,2142,1886,true
ABW,FEM,USA,362,9,1641,2140,1168,true
ABW,MAL,ANT,31,25,19,1764,1431,true
AUS,TOT,AUT,63,2321,1252,970,1212,true
AUS,TOT,CAN,6480,3244,0,15666,19585,true
AUS,TOT,CHN,1643,461,188,300,3578,true
AUS,TOT,CYP,138,479,819,1168,1365,true
AUS,TOT,DNK,133,787,821,1064,1593,true
AUS,TOT,FJI,187,682,1253,1310,1526,true
AUS,TOT,FRA,17553,1755,3470,3829,29613,true
AUS,TOT,DEU,716,3453,6508,4638,7839,true
AUS,TOT,GRC,12,35,5683,15557,8423,true
AUS,TOT,HKG,4682,3749,3773,1804,34152,true
AUS,TOT,IND,775,447,503,3027,1883,true
AUS,TOT,IRL,596,751,1334,2157,6672,true
AUS,TOT,ISR,227,269,255,3314,7570,true
AUS,TOT,ITA,241,14982,92,7632,5243,true
AUS,TOT,JPN,12,190,421,3683,7916,true
AUS,TOT,MKD,28,28,50,2216,2575,true
AUS,TOT,MYS,5,191,574,1842,4372,true
AUS,TOT,NLD,4,1020,2822,8131,9404,true
AUS,TOT,NZL,34932,43826,45707,51217,56375,true
AUS,TOT,PNG,13089,32257,14546,11271,8463,true
AUS,TOT,PHL,69,388,339,1091,2385,true
AUS,TOT,SCG,117,119,212,1941,7184,true
AUS,TOT,SGP,913,107,354,927,3371,true
AUS,TOT,ZAF,4064,4660,5210,3387,3042,true
AUS,TOT,ESP,0,0,0,2022,3158,true
AUS,TOT,SWE,176,368,645,1175,2215,true
AUS,TOT,CHE,215,855,150,1479,2372,true
AUS,TOT,THA,18,359,545,825,2524,true
AUS,TOT,TUR,49,914,1424,2876,2934,true
AUS,TOT,ARE,1,33,363,673,1156,true
AUS,TOT,GBR,45146,60219,63407,74195,113700,true
AUS,TOT,USA,23305,31783,46076,54050,74459,true
AUS,FEM,CAN,3332,1662,0,8272,10857,true
AUS,FEM,CHN,695,232,87,165,2391,true
AUS,FEM,FRA,8385,852,1988,1923,15000,true
AUS,FEM,DEU,313,1533,3345,2440,4002,true
AUS,FEM,GRC,6,17,2657,8684,4484,true
AUS,FEM,HKG,1908,1907,1699,1186,26316,true
AUS,FEM,IND,420,219,236,1718,1083,true
AUS,FEM,IRL,346,377,628,1158,3511,true
AUS,FEM,ISR,110,134,132,1821,4359,true
AUS,FEM,ITA,122,7402,50,4968,3462,true
AUS,FEM,JPN,5,81,205,1839,3430,true
AUS,FEM,MKD,16,16,30,1195,1388,true
AUS,FEM,MYS,2,89,269,845,2398,true
AUS,FEM,NLD,2,361,1200,4193,4837,true
AUS,FEM,NZL,18568,24130,24577,27787,30153,true
AUS,FEM,PNG,6013,14590,6321,4839,3222,true
AUS,FEM,SCG,66,69,126,938,3668,true
AUS,FEM,SGP,470,50,166,444,1559,true
AUS,FEM,ZAF,2284,2516,2771,1819,1669,true
AUS,FEM,ESP,0,0,0,1059,1594,true
AUS,FEM,CHE,127,493,83,846,1186,true
AUS,FEM,TUR,21,470,729,1487,1619,true
AUS,FEM,GBR,25214,34025,34873,40813,62446,true
AUS,FEM,USA,16006,17907,27757,29561,41115,true
AUS,MAL,CAN,3149,1582,0,7394,8728,true
AUS,MAL,CHN,949,229,101,135,1187,true
AUS,MAL,FRA,9168,903,1483,1906,14614,true
AUS,MAL,DEU,403,1920,3163,2199,3837,true
AUS,MAL,GRC,6,18,3027,6873,3939,true
AUS,MAL,HKG,2774,1842,2074,618,7836,true
AUS,MAL,IRL,250,374,706,1000,3162,true
AUS,MAL,ISR,117,135,123,1493,3211,true
AUS,MAL,ITA,119,7580,42,2664,1781,true
AUS,MAL,JPN,7,109,216,1844,4486,true
AUS,MAL,MKD,12,12,21,1022,1187,true
AUS,MAL,MYS,3,102,304,998,1975,true
AUS,MAL,NLD,2,660,1622,3937,4567,true
AUS,MAL,NZL,16364,19695,21131,23430,26223,true
AUS,MAL,PNG,7076,17667,8225,6431,5241,true
AUS,MAL,PHL,36,221,205,670,1484,true
AUS,MAL,SCG,51,50,87,1003,3516,true
AUS,MAL,SGP,443,57,187,483,1812,true
AUS,MAL,ZAF,1780,2144,2439,1568,1373,true
AUS,MAL,ESP,0,0,0,963,1563,true
AUS,MAL,SWE,83,163,339,629,1328,true
AUS,MAL,CHE,88,362,67,633,1187,true
AUS,MAL,THA,12,206,343,536,1676,true
AUS,MAL,TUR,28,444,694,1389,1315,true
AUS,MAL,GBR,19932,26194,28534,33382,51254,true
AUS,MAL,USA,7299,13875,18319,24488,33344,true
AUT,TOT,ARG,21433,14824,9066,4915,2454,true
AUT,TOT,AUS,22793,27224,21991,20980,19133,true
AUT,TOT,BEL,1533,1528,1782,1425,2261,true
AUT,TOT,BIH,700,711,1274,6214,4894,true
AUT,TOT,BRA,12184,10111,7618,4724,3208,true
AUT,TOT,CAN,68268,50167,32649,35357,21953,true
AUT,TOT,HRV,6960,7073,12665,1288,1670,true
AUT,TOT,CZE,99,109,121,853,7422,true
AUT,TOT,DNK,113,2134,1541,1385,1453,true
AUT,TOT,DOM,13,280,539,832,1177,true
AUT,TOT,FRA,14864,5322,12197,12583,25076,true
AUT,TOT,DEU,59970,124663,176610,151101,189096,true
AUT,TOT,GRC,147,417,1389,2845,1372,true
AUT,TOT,HUN,3581,2462,2022,1689,1574,true
AUT,TOT,ISR,289,344,46520,24018,4381,true
AUT,TOT,ITA,9571,34886,20999,15730,10131,true
AUT,TOT,LIE,1171,1850,1945,2095,2132,true
AUT,TOT,MKD,1225,1244,2228,2667,3098,true
AUT,TOT,NLD,950,1100,2551,6878,6395,true
AUT,TOT,NZL,937,1059,977,1204,1208,true
AUT,TOT,NOR,582,752,880,1011,1080,true
AUT,TOT,PHL,33,183,136,123,1626,true
AUT,TOT,POL,1099,947,1958,3010,4648,true
AUT,TOT,SCG,6731,6841,12249,16607,61465,true
AUT,TOT,SVN,2042,2075,3716,4444,2650,true
AUT,TOT,ZAF,2062,3028,3980,2387,2276,true
AUT,TOT,ESP,64,108,186,1905,3309,true
AUT,TOT,SWE,5726,8102,6972,6555,5957,true
AUT,TOT,CHE,48669,45314,38022,31607,31194,true
AUT,TOT,THA,55,117,326,567,1846,true
AUT,TOT,TUR,1838,3245,3834,6898,14309,true
AUT,TOT,GBR,36007,6936,23727,20978,6987,true
